vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,p_AFR,SPLIT_TIME,p_EUR,likelihood,posterior
236,7554,17785,9886,9920,10,0.8555264934358682,2000,0.14447350656413183,0.09,0.004139834406623735
237,11555,22600,9552,8123,10,0.8144958129702475,2000,0.18550418702975247,0.0,0.0
238,8648,24246,10266,12442,11,0.7964962355922244,2000,0.20350376440777562,0.0,0.0
239,10987,18144,14742,7102,10,0.8127250919036094,2000,0.18727490809639058,0.0,0.0
240,7999,13735,10011,7829,9,0.8015326569116722,2000,0.1984673430883278,0.0,0.0
241,8090,14343,7516,7856,11,0.8118963123191958,2000,0.1881036876808042,0.0,0.0
242,12385,22619,8483,10797,11,0.846492360410981,2000,0.15350763958901903,0.05,0.0022999080036798527
243,10634,21039,7469,11009,9,0.853260340577156,2000,0.14673965942284395,0.08,0.003679852805887764
244,9936,26096,13365,7043,10,0.7868342075722765,2000,0.2131657924277235,0.0,0.0
245,8998,14642,13620,12000,9,0.8531466595455109,2000,0.14685334045448906,0.02,0.000919963201471941
246,12459,25838,6666,7189,10,0.8428543928879412,2000,0.15714560711205883,0.05,0.0022999080036798527
247,7914,27914,8471,11146,11,0.7785735446664764,2000,0.22142645533352356,0.0,0.0
248,9206,11697,10243,9495,9,0.792124922672018,2000,0.20787507732798205,0.0,0.0
249,10260,14707,12381,10348,10,0.804290500933062,2000,0.19570949906693802,0.0,0.0
250,11931,14330,5468,9680,10,0.8787808182954491,2000,0.12121918170455093,0.48,0.022079116835326585
251,8931,23670,10345,11080,9,0.7859242727971764,2000,0.21407572720282364,0.0,0.0
252,9530,17565,8665,11605,10,0.70409312835779,2000,0.29590687164220997,0.0,0.0
253,10481,15197,8828,13082,9,0.8501363699824701,2000,0.1498636300175299,0.02,0.000919963201471941
254,9490,17527,9586,8553,10,0.8438410624833699,2000,0.15615893751663013,0.03,0.0013799448022079116
255,12859,26403,11685,7655,10,0.8642157345518054,2000,0.13578426544819455,0.2,0.00919963201471941
256,9578,24362,11289,8132,9,0.7843131694702038,2000,0.2156868305297962,0.0,0.0
257,9169,14649,12708,5429,9,0.8144648629879977,2000,0.1855351370120023,0.0,0.0
258,10560,25316,8497,9036,9,0.7269534846901494,2000,0.2730465153098506,0.0,0.0
259,11316,27901,10115,10050,11,0.7478845447059715,2000,0.25211545529402846,0.0,0.0
260,9733,21471,11627,6421,11,0.892238321410479,2000,0.10776167858952101,0.82,0.03771849126034958
261,11478,25756,9151,10304,10,0.7732214225209146,2000,0.22677857747908536,0.0,0.0
262,9860,23062,12987,7732,11,0.8489452122147528,2000,0.15105478778524717,0.04,0.001839926402943882
263,11637,28300,10895,12652,9,0.7393001423253429,2000,0.2606998576746571,0.0,0.0
264,8685,25814,9320,7775,11,0.8479552513997316,2000,0.1520447486002684,0.04,0.001839926402943882
265,8075,17047,9803,10715,10,0.796640930234915,2000,0.203359069765085,0.0,0.0
266,11825,29772,8491,9664,9,0.8066842745682898,2000,0.19331572543171016,0.0,0.0
267,8306,18631,10004,12387,9,0.8430745630756693,2000,0.1569254369243307,0.01,0.0004599816007359705
268,8026,21781,6505,10384,9,0.7650001838299967,2000,0.23499981617000332,0.0,0.0
269,9323,27934,13566,9488,10,0.7192429103224729,2000,0.2807570896775271,0.0,0.0
270,10163,29365,11308,11307,11,0.8288435595074828,2000,0.17115644049251721,0.0,0.0
271,9393,16647,11201,6860,8,0.7382513806304989,2000,0.2617486193695011,0.0,0.0
272,11905,20489,11880,11024,11,0.7777978548796886,2000,0.22220214512031145,0.0,0.0
273,11492,17247,9508,11543,10,0.7375182156963194,2000,0.26248178430368063,0.0,0.0
274,8245,14379,8633,6133,9,0.8120196383008538,2000,0.18798036169914623,0.0,0.0
275,10766,22922,11446,10258,11,0.8675845120312858,2000,0.13241548796871416,0.28,0.012879484820607176
276,8242,20844,11420,11069,10,0.7899475540777444,2000,0.21005244592225558,0.0,0.0
277,9292,19214,14782,13666,11,0.7612166082106684,2000,0.2387833917893316,0.0,0.0
278,8117,16960,9660,8014,11,0.7828487235885051,2000,0.2171512764114949,0.0,0.0
279,7907,22830,9516,9012,9,0.770705698887337,2000,0.22929430111266302,0.0,0.0
280,9245,12042,8813,8998,9,0.7882354119665108,2000,0.2117645880334892,0.0,0.0
281,9061,23693,8748,10860,10,0.8001016035669998,2000,0.19989839643300022,0.0,0.0
282,11141,22517,12036,5685,10,0.8467487344636934,2000,0.15325126553630664,0.04,0.001839926402943882
283,9749,24721,13106,9595,11,0.8160339361979291,2000,0.18396606380207092,0.0,0.0
284,9779,24369,8594,8327,9,0.8092534389020448,2000,0.19074656109795518,0.0,0.0
285,10077,24499,14535,10925,10,0.7764789229381818,2000,0.22352107706181823,0.0,0.0
286,10839,12702,7452,8886,11,0.7528554208512567,2000,0.24714457914874333,0.0,0.0
287,10188,12663,7490,9222,10,0.7951367690759992,2000,0.20486323092400083,0.0,0.0
288,12244,18394,8773,11882,10,0.8248177861019133,2000,0.17518221389808675,0.0,0.0
289,11486,18439,10325,13304,10,0.7334313102549868,2000,0.26656868974501324,0.0,0.0
290,11760,23001,9334,10172,9,0.8653086901102521,2000,0.13469130988974787,0.15,0.006899724011039558
291,8209,11854,6482,6619,11,0.7632728126418538,2000,0.23672718735814624,0.0,0.0
292,12275,19094,10899,11308,10,0.7773871944199366,2000,0.22261280558006336,0.0,0.0
293,8914,21957,11420,8726,11,0.8544230665784468,2000,0.1455769334215532,0.1,0.004599816007359705
